"FullName","Account","AccessRights"
"D:\Antoine HENRY\Bureau\~WRD0630.tmp","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\~WRD0630.tmp","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize"
"D:\Antoine HENRY\Bureau\~WRD0630.tmp","AUTORITE NT\Utilisateurs authentifiés","Write, ReadAndExecute, Synchronize"
"D:\Antoine HENRY\Bureau\~WRD0630.tmp","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\~WRD0630.tmp","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\Administration Linux ZELLOU SCHIADA HENRY.docx","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\Administration Linux ZELLOU SCHIADA HENRY.docx","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize"
"D:\Antoine HENRY\Bureau\Administration Linux ZELLOU SCHIADA HENRY.docx","AUTORITE NT\Utilisateurs authentifiés","Write, ReadAndExecute, Synchronize"
"D:\Antoine HENRY\Bureau\Administration Linux ZELLOU SCHIADA HENRY.docx","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\Administration Linux ZELLOU SCHIADA HENRY.docx","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\AEN_Infrastructure.docx","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\AEN_Infrastructure.docx","AUTORITE NT\Utilisateurs authentifiés","Write, ReadAndExecute, Synchronize"
"D:\Antoine HENRY\Bureau\AEN_Infrastructure.docx","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize"
"D:\Antoine HENRY\Bureau\AEN_Infrastructure.docx","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\AEN_Infrastructure.docx","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\Avis d'imposition sur le revenu 2017.pdf","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\Avis d'imposition sur le revenu 2017.pdf","AUTORITE NT\Utilisateurs authentifiés","Write, ReadAndExecute, Synchronize"
"D:\Antoine HENRY\Bureau\Avis d'imposition sur le revenu 2017.pdf","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize"
"D:\Antoine HENRY\Bureau\Avis d'imposition sur le revenu 2017.pdf","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\Avis d'imposition sur le revenu 2017.pdf","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\Capture.PNG","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\Capture.PNG","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize"
"D:\Antoine HENRY\Bureau\Capture.PNG","AUTORITE NT\Utilisateurs authentifiés","Write, ReadAndExecute, Synchronize"
