"FullName","Account","AccessRights"
"D:\Antoine HENRY\Bureau\1663595-futuristic-background.png","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\1663595-futuristic-background.png","AUTORITE NT\Utilisateurs authentifiés","Write, ReadAndExecute, Synchronize"
"D:\Antoine HENRY\Bureau\1663595-futuristic-background.png","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize"
"D:\Antoine HENRY\Bureau\1663595-futuristic-background.png","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\1663595-futuristic-background.png","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\18790646-abstract-concept-nano-round-ray-computer-technology-business-background-Stock-Vector.jpg","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\18790646-abstract-concept-nano-round-ray-computer-technology-business-background-Stock-Vector.jpg","AUTORITE NT\Utilisateurs authentifiés","Write, ReadAndExecute, Synchronize"
"D:\Antoine HENRY\Bureau\18790646-abstract-concept-nano-round-ray-computer-technology-business-background-Stock-Vector.jpg","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize"
"D:\Antoine HENRY\Bureau\18790646-abstract-concept-nano-round-ray-computer-technology-business-background-Stock-Vector.jpg","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\18790646-abstract-concept-nano-round-ray-computer-technology-business-background-Stock-Vector.jpg","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\2ESGI_AérodromeEvreuxNormandieAlternants_E2_03-30-01.21.25_Documenttechniquepartieapplicative.doc","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\2ESGI_AérodromeEvreuxNormandieAlternants_E2_03-30-01.21.25_Documenttechniquepartieapplicative.doc","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize"
"D:\Antoine HENRY\Bureau\2ESGI_AérodromeEvreuxNormandieAlternants_E2_03-30-01.21.25_Documenttechniquepartieapplicative.doc","AUTORITE NT\Utilisateurs authentifiés","Write, ReadAndExecute, Synchronize"
"D:\Antoine HENRY\Bureau\2ESGI_AérodromeEvreuxNormandieAlternants_E2_03-30-01.21.25_Documenttechniquepartieapplicative.doc","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\2ESGI_AérodromeEvreuxNormandieAlternants_E2_03-30-01.21.25_Documenttechniquepartieapplicative.doc","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\2ESGI_AérodromeEvreuxNormandieAlternants_E2_03-30-01.21.25_Documenttechniquepartieapplicative.rar","AUTORITE NT\Système","FullControl"
