"FullName","Account","AccessRights"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","AUTORITE NT\Système","FullControl, GenericAll"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","AUTORITE NT\Système","FullControl, GenericAll"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","AUTORITE NT\Système","FullControl, GenericAll"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","AUTORITE NT\Utilisateurs authentifiés","Write, ReadAndExecute, Synchronize"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize, GenericExecute, GenericWrite, GenericRead"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","AUTORITE NT\Utilisateurs authentifiés","GenericExecute, GenericWrite, GenericRead"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","AUTORITE NT\Utilisateurs authentifiés","Write, ReadAndExecute, Synchronize"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","AUTORITE NT\Utilisateurs authentifiés","Write, ReadAndExecute, Synchronize, GenericExecute, GenericWrite, GenericRead"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","AUTORITE NT\Utilisateurs authentifiés","Write, ReadAndExecute, Synchronize"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize, GenericExecute, GenericWrite, GenericRead"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","AUTORITE NT\Utilisateurs authentifiés","Synchronize, GenericExecute, GenericWrite, GenericRead"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","BUILTIN\Administrateurs","FullControl, GenericAll"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","BUILTIN\Administrateurs","Synchronize, GenericAll"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","BUILTIN\Administrateurs","FullControl, GenericAll"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","BUILTIN\Administrateurs","FullControl, GenericAll"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","BUILTIN\Utilisateurs","Modify, Synchronize, GenericAll, GenericExecute, GenericWrite, GenericRead"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","BUILTIN\Utilisateurs","GenericAll, GenericExecute, GenericWrite, GenericRead"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","BUILTIN\Utilisateurs","FullControl, GenericAll, GenericExecute, GenericWrite, GenericRead"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","BUILTIN\Utilisateurs","GenericAll, GenericExecute, GenericWrite, GenericRead"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp","BUILTIN\Utilisateurs","Synchronize, GenericAll, GenericExecute, GenericWrite, GenericRead"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp\logSet","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp\logSet","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp\logSet","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp\logSet","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp\logSet","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp\logSet","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp\logSet","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp\logSet","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp\phpForAuth.php","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp\phpForAuth.php","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp\phpForAuth.php","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp\phpForAuth.php","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp\phpForAuth.php","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp\phpForAuth.php","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp\phpForAuth.php","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp\phpForAuth.php","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp\readme","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp\readme","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp\readme","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize"
"D:\Antoine HENRY\Bureau\3SI1-GROUPE1-RogueAp\readme","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize"
